,image_name,x_1,y_1,x_2,y_2,category,category_type,category_type_name,width,height,area,evaluation_status,category_encoding
8184,img/Zip_Collar_Bomber/img_00000001.jpg,22,80,239,290,Bomber,1,Upper Body,217,210,45570,train,1
8185,img/Zip_Collar_Bomber/img_00000002.jpg,50,38,254,273,Bomber,1,Upper Body,204,235,47940,train,1
8186,img/Zip_Collar_Bomber/img_00000003.jpg,13,14,193,198,Bomber,1,Upper Body,180,184,33120,train,1
8187,img/Zip_Collar_Bomber/img_00000004.jpg,69,53,248,273,Bomber,1,Upper Body,179,220,39380,train,1
8188,img/Zip_Collar_Bomber/img_00000005.jpg,29,2,175,212,Bomber,1,Upper Body,146,210,30660,train,1
8190,img/Zip_Collar_Bomber/img_00000007.jpg,21,3,177,213,Bomber,1,Upper Body,156,210,32760,train,1
8191,img/Zip_Collar_Bomber/img_00000008.jpg,90,49,212,222,Bomber,1,Upper Body,122,173,21106,train,1
8192,img/Zip_Collar_Bomber/img_00000009.jpg,38,58,136,267,Bomber,1,Upper Body,98,209,20482,train,1
8194,img/Zip_Collar_Bomber/img_00000011.jpg,27,58,224,300,Bomber,1,Upper Body,197,242,47674,train,1
8196,img/Zip_Collar_Bomber/img_00000013.jpg,20,16,240,267,Bomber,1,Upper Body,220,251,55220,train,1
8197,img/Zip_Collar_Bomber/img_00000014.jpg,31,31,225,221,Bomber,1,Upper Body,194,190,36860,train,1
8198,img/Zip_Collar_Bomber/img_00000015.jpg,92,55,217,201,Bomber,1,Upper Body,125,146,18250,train,1
8200,img/Zip_Collar_Bomber/img_00000017.jpg,25,59,179,241,Bomber,1,Upper Body,154,182,28028,train,1
8201,img/Zip_Collar_Bomber/img_00000018.jpg,55,59,242,300,Bomber,1,Upper Body,187,241,45067,train,1
8202,img/Zip_Collar_Bomber/img_00000019.jpg,28,59,228,300,Bomber,1,Upper Body,200,241,48200,train,1
8203,img/Zip_Collar_Bomber/img_00000020.jpg,58,77,195,279,Bomber,1,Upper Body,137,202,27674,train,1
8206,img/Zip_Collar_Bomber/img_00000023.jpg,37,72,219,300,Bomber,1,Upper Body,182,228,41496,train,1
